Image,Severity,Method,MSE,PSNR (dB),SSIM,Coherence,Match score (%),Runtime (s),Ridge endings,Bifurcations
100__M_Right_middle_finger.BMP,0.55,Gabor,0.06838624627931901,11.650312340344644,0.50710380775558,0.6131896376609802,1.3333333333333333,0.876912200008519,133,55
100__M_Right_middle_finger.BMP,0.55,Hybrid,0.04240928052513836,13.725390952981954,0.6275223796946146,0.7024118304252625,2.6666666666666665,0.8684284999617375,133,55
100__M_Right_ring_finger.BMP,0.75,Degraded input,0.0444522475178492,13.52106276090305,0.3550941612588185,0.4300806522369385,3.0,0.0,147,59
100__M_Right_ring_finger.BMP,0.75,Global HE baseline,0.035958465055191555,14.441988551003206,0.4617588086078936,0.44535893201828003,3.0,0.0035171000054106116,147,59
100__M_Right_ring_finger.BMP,0.75,M1 CLAHE baseline,0.07393008166711164,11.311788140573677,0.4566582811114452,0.4344850182533264,1.0,0.008377999998629093,147,59
100__M_Right_ring_finger.BMP,0.75,M1 Wiener + CLAHE,0.047353634705263936,13.246466804018587,0.5601741852721013,0.6368811130523682,1.3333333333333333,0.012667000002693385,147,59
100__M_Right_ring_finger.BMP,0.75,Gabor,0.08035624575861758,10.949803616749422,0.3645979081521394,0.45710569620132446,1.3333333333333333,1.0768562000012025,147,59
100__M_Right_ring_finger.BMP,0.75,Hybrid,0.049148263971365944,13.08491817831268,0.5189259677266022,0.6372379660606384,2.0,0.9586738999933004,147,59
100__M_Right_thumb_finger.BMP,0.35,Degraded input,0.014676160546734462,18.333875460180593,0.7454772353886063,0.6178157329559326,20.333333333333332,0.0,197,55
100__M_Right_thumb_finger.BMP,0.35,Global HE baseline,0.02942927854383598,15.312203844607525,0.7278258586843303,0.6179155111312866,18.333333333333332,0.0030748999561183155,197,55
100__M_Right_thumb_finger.BMP,0.35,M1 CLAHE baseline,0.0619317861131428,12.080863947539314,0.684792790554036,0.6068854928016663,9.333333333333334,0.006852600025013089,197,55
100__M_Right_thumb_finger.BMP,0.35,M1 Wiener + CLAHE,0.03996259678010344,13.983462989588794,0.7217867850068249,0.6425838470458984,7.333333333333333,0.010382900014519691,197,55
