image,candidate,member,parameters_json,baseline_psnr,baseline_mse,baseline_ssim,mse,psnr,ssim,coherence,contrast,fragmentation,continuity,ridge_coverage,delta_psnr,delta_mse,delta_ssim,runtime_seconds
598__M_Right_little_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.18)",M2 Modified Gabor,"{""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.232376829257564,0.0018913082504083206,0.873195821332097,0.0031594840245644136,25.00383836236395,0.8660323871314153,0.6167190670967102,0.21760839223861694,6.990229565493685,14.417582417582418,0.384185791015625,-2.228538466893614,0.001268175774156093,-0.007163434200681773,4.263893500028644
241__M_Right_thumb_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.18)",M2 Modified Gabor,"{""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.683054149489543,0.0017048830187297685,0.8502431259251237,0.003805062041465835,24.196382576722264,0.8033538359874748,0.6182010173797607,0.1648438572883606,1.48944437249061,41.36180904522613,0.47125244140625,-3.4866715727672783,0.0021001790227360663,-0.04688928993764896,4.082802299992181
318__F_Left_little_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.18)",M2 Modified Gabor,"{""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.680894438410597,0.001705731054009289,0.804882369456917,0.0028076347177556794,25.51659395966159,0.802406140959084,0.5090724229812622,0.1792440116405487,10.415570752235665,10.751322751322752,0.290069580078125,-2.1643004787490057,0.0011019036637463903,-0.002476228497833022,3.89809219999006
533__M_Left_thumb_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.18)",M2 Modified Gabor,"{""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.13216588011231,0.0019354564872124708,0.877849622436881,0.00278554883249928,25.55089223670494,0.871951961555712,0.6704301238059998,0.18890228867530823,6.550852025374186,18.25,0.3680267333984375,-1.5812736434073713,0.0008500923452868093,-0.005897660881169053,4.1766523999976926
352__M_Left_ring_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.18)",M2 Modified Gabor,"{""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.179633251246813,0.001914417585057521,0.8731976190728247,0.003175701776427146,24.98160288024917,0.8657973220208287,0.63372802734375,0.20512300729751587,7.848960543063216,14.411027568922306,0.359649658203125,-2.1980303709976425,0.0012612841913696251,-0.007400297051995963,4.365518399979919
399__M_Right_ring_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.18)",M2 Modified Gabor,"{""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.19164994656221,0.0019091278159366633,0.7421257503849864,0.002493387120434845,26.032102881963397,0.7427939647395984,0.4926624298095703,0.1248539388179779,20.503126363239783,9.531360946745561,0.3148040771484375,-1.159547064598815,0.0005842593044981816,0.0006682143546119512,5.16465709998738
576__M_Left_middle_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.18)",M2 Modified Gabor,"{""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",26.928755659828724,0.002028263774235365,0.9142761199680268,0.0036239820081096896,24.40813967120522,0.9010302256518453,0.6625681519508362,0.20480786263942719,6.6125968142627505,18.292270531400966,0.41766357421875,-2.5206159886235042,0.0015957182338743247,-0.013245894316181506,4.770079799985979
506__M_Right_ring_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.18)",M2 Modified Gabor,"{""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.395784631250596,0.0018214679623487747,0.8722582732038497,0.003116242723036634,25.063687226393853,0.8565627338807098,0.5533281564712524,0.20699761807918549,1.980473228866266,30.11842105263158,0.4391632080078125,-2.332097404856743,0.0012947747606878593,-0.01569553932313994,5.203383600048255
559__M_Right_index_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.18)",M2 Modified Gabor,"{""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.192835645833707,0.001908606662071044,0.8851221825720071,0.003295844107028171,24.820333385582316,0.8757745649058,0.640411376953125,0.21236060559749603,7.386363636363636,16.19277108433735,0.3759765625,-2.372502260251391,0.001387237444957127,-0.009347617666207175,4.136320699995849
52__M_Right_little_finger.BMP,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.18)",M2 Modified Gabor,"{""blend"": 0.18, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",26.879822313048408,0.0020512461016534865,0.7911558452983201,0.002454329048400267,26.10067212462875,0.7923115952124149,0.5148460865020752,0.13219457864761353,16.638575565063313,12.329317269076306,0.3530731201171875,-0.7791501884196563,0.0004030829467467807,0.001155749914094839,3.896791299979668
