split,filename,subject_id,method,parameters_json,baseline_psnr,baseline_ssim,baseline_mse,psnr,ssim,mse,delta_psnr,delta_ssim,delta_mse,mean_absolute_change,runtime_seconds
development,443__M_Left_little_finger.BMP,443,M1 NLM,"{""h"": 0.07}",27.13340595635713,0.8394890675188899,0.0019349039195231878,29.845608711821576,0.9199313157684803,0.0010361893608361243,2.712202755464446,0.08044224824959045,-0.0008987145586870635,0.029238732531666756,0.4406835999980103
development,443__M_Left_middle_finger.BMP,443,M1 NLM,"{""h"": 0.07}",27.14151541310484,0.8253531774876117,0.0019312942998486661,30.052752875489013,0.9209125037794114,0.0009879266760907401,2.9112374623841717,0.09555932629179964,-0.000943367623757926,0.02936025895178318,0.5189218999948935
development,443__M_Left_ring_finger.BMP,443,M1 NLM,"{""h"": 0.07}",27.237265248598867,0.8298590763946772,0.0018891805912286746,29.959108471949317,0.929742277717352,0.001009460088713602,2.721843223350451,0.09988320132267481,-0.0008797205025150726,0.027919160202145576,0.5100910000037402
development,443__M_Left_thumb_finger.BMP,443,M1 NLM,"{""h"": 0.07}",26.800304933742755,0.8761664312357903,0.00208914943902406,29.543354058575563,0.9285345601147413,0.0011108734677417445,2.743049124832808,0.05236812887895104,-0.0009782759712823154,0.02905893698334694,0.4941843999986304
development,443__M_Right_index_finger.BMP,443,M1 NLM,"{""h"": 0.07}",27.35710649714296,0.896552869089663,0.0018377623514359127,29.247397095014733,0.9159931169068813,0.0011892147590797611,1.890290597871772,0.019440247817218315,-0.0006485475923561515,0.027205321937799454,0.5426279000021168
development,443__M_Right_little_finger.BMP,443,M1 NLM,"{""h"": 0.07}",27.00440155233622,0.8630209608132839,0.0019932411512218785,29.653838137721106,0.9242842075533867,0.0010829694017464092,2.649436585384887,0.06126324674010275,-0.0009102717494754694,0.02941332384943962,0.585434600005101
development,443__M_Right_middle_finger.BMP,443,M1 NLM,"{""h"": 0.07}",27.064112289055643,0.8992271602718234,0.001966023800672798,29.238295173132443,0.9350445981616974,0.001191709722936515,2.1741828840767994,0.035817437889874015,-0.000774314077736283,0.026698226109147072,0.5811887000018032
development,443__M_Right_ring_finger.BMP,443,M1 NLM,"{""h"": 0.07}",26.925258364749403,0.8801929126424491,0.0020298977562655464,29.476226157365396,0.9262801944167613,0.001128177370668746,2.5509677926159924,0.046087281774312205,-0.0009017203855968003,0.028640957549214363,0.5808894000001601
development,443__M_Right_thumb_finger.BMP,443,M1 NLM,"{""h"": 0.07}",27.180918571542815,0.9082978897159397,0.001913851085644088,29.292265493463375,0.9479130005757809,0.0011769918365643246,2.1113469219205605,0.03961511085984115,-0.0007368592490797634,0.025909997522830963,0.5738053000022774
development,572__F_Left_index_finger.BMP,572,M1 NLM,"{""h"": 0.07}",27.6241298412811,0.7974931483537555,0.001728172204909599,29.974857165274095,0.9441305363025665,0.0010058061423265248,2.350727323992995,0.14663738794881098,-0.0007223660625830743,0.023589788004755974,0.498890200004098
development,572__F_Left_little_finger.BMP,572,M1 NLM,"{""h"": 0.07}",27.812594150599153,0.7617954299381375,0.0016547812255908382,30.594050016232288,0.9578873871200084,0.000872157657799353,2.7814558656331343,0.1960919571818709,-0.0007826235677914852,0.021133746951818466,0.5522930000006454
development,572__F_Left_middle_finger.BMP,572,M1 NLM,"{""h"": 0.07}",27.320467020532956,0.8414032366846502,0.0018533323137710088,29.584861643841975,0.942781654248476,0.0011003068979654113,2.2643946233090197,0.10137841756382582,-0.0007530254158055975,0.022086191922426224,0.5464883000022382
development,572__F_Left_ring_finger.BMP,572,M1 NLM,"{""h"": 0.07}",27.400851017810083,0.8340889724407196,0.0018193443157140715,29.60263754830548,0.9387823293704987,0.0010958124874316073,2.201786530495397,0.1046933569297791,-0.0007235318282824642,0.022313954308629036,0.4776136000000406
development,572__F_Left_thumb_finger.BMP,572,M1 NLM,"{""h"": 0.07}",27.305828412733867,0.834587592176944,0.0018595898143411753,29.057732567218622,0.9444048756296635,0.0012423007381700618,1.7519041544847553,0.10981728345271946,-0.0006172890761711135,0.018960438668727875,0.4728716000026907
