filename,subject_id,candidate,member,parameters_json,baseline_psnr,baseline_ssim,baseline_mse,psnr,ssim,mse,delta_psnr,delta_ssim,delta_mse,runtime_seconds
572__F_Left_middle_finger.BMP,572,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.320467020532956,0.8414032366846502,0.0018533323137710088,24.560002576207808,0.8287616170235835,0.003499449594431263,-2.760464444325148,-0.012641619661066694,0.001646117280660254,1.0302859999937937
572__F_Left_ring_finger.BMP,572,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.400851017810083,0.8340889724407196,0.0018193443157140715,24.737111564779404,0.8239874202914796,0.003359609831660825,-2.6637394530306793,-0.010101552149239912,0.0015402655159467533,0.9889829000458121
572__F_Left_thumb_finger.BMP,572,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.305828412733867,0.834587592176944,0.0018595898143411753,25.222113475170715,0.8243959134827629,0.003004613764593031,-2.083714937563151,-0.010191678694181139,0.0011450239502518557,1.2345245000324212
572__F_Right_index_finger.BMP,572,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.46236185610437,0.8347724638455808,0.0017937578488015497,24.06321336093069,0.8026503646381665,0.003923545234116991,-3.39914849517368,-0.03212209920741427,0.002129787385315441,1.1569222999969497
572__F_Right_little_finger.BMP,572,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.974544939353972,0.7329479814072252,0.001594209915804351,25.63126199169242,0.7275551563362628,0.00273447401555871,-2.343282947661553,-0.005392825070962393,0.0011402640997543588,1.1257460999768227
572__F_Right_middle_finger.BMP,572,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.286906419383943,0.8481148620772362,0.0018677096301195127,23.999409383228624,0.8311691571889706,0.003981613146355362,-3.287497036155319,-0.016945704888265634,0.0021139035162358495,1.1373273000353947
572__F_Right_ring_finger.BMP,572,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.675962306992894,0.7896063315761983,0.0017076692938429667,24.525408816541358,0.777614190435376,0.003527435800726276,-3.1505534904515358,-0.011992141140822254,0.0018197665068833092,1.1786938000004739
572__F_Right_thumb_finger.BMP,572,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.222879613560988,0.8812139176847636,0.0018954487167133127,23.577866884155874,0.8440943640455268,0.004387461429589574,-3.6450127294051136,-0.0371195536392368,0.0024920127128762607,0.9984778999933042
29__F_Left_index_finger.BMP,29,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.623691427691885,0.7954367920094132,0.0017283466700372958,24.42556961139342,0.7692163051461279,0.003609466694852367,-3.198121816298464,-0.026220486863285264,0.0018811200248150712,1.122937300009653
29__F_Left_little_finger.BMP,29,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.41274074675311,0.8241425118806959,0.0018143702881231619,24.945156047210858,0.8117656674328968,0.0032024650241563716,-2.4675846995422503,-0.012376844447799074,0.0013880947360332097,1.223509500036016
29__F_Left_middle_finger.BMP,29,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.14871397879486,0.8713243151237965,0.0019280957712296085,24.637365715745926,0.8567200230554305,0.003437664018098154,-2.5113482630489337,-0.014604292068365998,0.0015095682468685455,1.231983500008937
29__F_Left_ring_finger.BMP,29,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.068069623154493,0.8852838855306506,0.0019642331563697636,24.29897674752327,0.8691968027577661,0.0037162277778813196,-2.769092875631223,-0.01608708277288451,0.001751994621511556,1.0834030999685638
29__F_Left_thumb_finger.BMP,29,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.00724258759245,0.8884813020378352,0.0019919376539917696,24.693746018551845,0.8690334540051259,0.003393324542161454,-2.3134965690406055,-0.01944784803270927,0.0014013868881696842,1.111168799980078
29__F_Right_index_finger.BMP,29,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.13446795737326,0.8550214416386783,0.001934430826082868,25.17524782625859,0.8437164792567529,0.003037212771172874,-1.9592201311146695,-0.011304962381925465,0.001102781945090006,0.8458933000219986
29__F_Right_little_finger.BMP,29,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.241294751244425,0.8476442870678902,0.0018874285708654986,24.557723190313855,0.8307536500866525,0.003501286755618222,-2.68357156093057,-0.016890636981237717,0.0016138581847527232,0.8603347999742255
29__F_Right_middle_finger.BMP,29,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",27.250855791884682,0.83831398543185,0.0018832779466694744,25.308297608738037,0.8276990777825824,0.002945576044097447,-1.9425581831466445,-0.010614907649267535,0.0010622980974279727,0.9563719999860041
29__F_Right_ring_finger.BMP,29,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",26.977191599302174,0.8919698833798766,0.002005768654746689,24.38692193826409,0.8763187651710845,0.0036417305229882856,-2.590269661038082,-0.01565111820879206,0.0016359618682415967,1.2441545000183396
29__F_Right_thumb_finger.BMP,29,"M2 Modified Gabor (frequencies=0.075/0.095/0.115/0.14, orientation_bins=8, blend=0.12)",M2 Modified Gabor,"{""blend"": 0.12, ""frequencies"": [0.075, 0.095, 0.115, 0.14], ""orientation_bins"": 8}",26.97520674425169,0.9095325257153511,0.0020066855602344016,24.993687638109567,0.8961857210821695,0.003166877293730502,-1.9815191061421231,-0.013346804633181608,0.0011601917334961003,1.1417077000369318
