split,filename,subject_id,noise_seed,psnr,ssim,mse
development,222__M_Left_little_finger.BMP,222,20261194,27.524900418118612,0.8182178665835858,0.0017681127593446322
development,222__M_Left_middle_finger.BMP,222,20261195,27.08762671990932,0.9180543485129178,0.0019554077314863296
development,222__M_Left_ring_finger.BMP,222,20261196,27.22483877296363,0.8947344528017044,0.0018945938477580209
development,222__M_Left_thumb_finger.BMP,222,20261197,27.233877333274187,0.9065954894123077,0.001890654909059132
development,222__M_Right_index_finger.BMP,222,20261198,27.19226671948666,0.8970285274621844,0.0019088567061743519
development,222__M_Right_little_finger.BMP,222,20261199,27.262363074117783,0.8651409731997252,0.0018782945249877611
development,222__M_Right_middle_finger.BMP,222,20261200,26.882965170091534,0.9380784341383577,0.0020497622142402095
development,222__M_Right_ring_finger.BMP,222,20261201,27.036718360620767,0.912040612370193,0.0019784640531072912
development,222__M_Right_thumb_finger.BMP,222,20261202,27.073244976115962,0.9145674537937045,0.0019618938346201167
development,151__M_Left_index_finger.BMP,151,20261203,27.23395560290063,0.8930598677057028,0.00189062083551545
development,151__M_Left_little_finger.BMP,151,20261204,27.472241816289575,0.8198548839435578,0.0017896817866903754
development,151__M_Left_middle_finger.BMP,151,20261205,27.536807336359356,0.8541098459053635,0.0017632718181337553
development,151__M_Left_ring_finger.BMP,151,20261206,27.488396413754636,0.812058330704093,0.0017830370133939217
development,151__M_Left_thumb_finger.BMP,151,20261207,27.404487538167533,0.8881887589464188,0.0018178215440152973
development,151__M_Right_index_finger.BMP,151,20261208,27.652213195271862,0.8040211875696778,0.001717033151974343
development,151__M_Right_little_finger.BMP,151,20261209,27.35546814456648,0.8597118924495578,0.0018384557681850912
development,151__M_Right_middle_finger.BMP,151,20261210,27.413045160037356,0.8508284536483288,0.0018142431165645374
development,151__M_Right_ring_finger.BMP,151,20261211,27.175853162882543,0.902264971483171,0.0019160846147440553
development,151__M_Right_thumb_finger.BMP,151,20261212,27.373317497544335,0.874674793771565,0.0018309152847499472
development,458__M_Left_index_finger.BMP,458,20261213,27.406615265554862,0.8467918352380395,0.0018169311616773175
development,458__M_Left_little_finger.BMP,458,20261214,27.530400531466974,0.8411853642629386,0.0017658749539836386
development,458__M_Left_middle_finger.BMP,458,20261215,27.15114889397061,0.8979487909154892,0.0019270150681545894
development,458__M_Left_ring_finger.BMP,458,20261216,27.569890619109543,0.813433139367938,0.0017498907606097367
development,458__M_Left_thumb_finger.BMP,458,20261217,27.148467616185208,0.912780851092726,0.0019282051495889698
development,458__M_Right_index_finger.BMP,458,20261218,27.52559520177169,0.8341944850972295,0.0017678299195586524
development,458__M_Right_little_finger.BMP,458,20261219,27.97211041790188,0.7539071512601971,0.0015951038314370991
development,458__M_Right_middle_finger.BMP,458,20261220,27.58630135407322,0.8286793620156646,0.0017432909058239334
development,458__M_Right_ring_finger.BMP,458,20261221,28.07503863890942,0.7279435409357548,0.0015577441756170914
development,458__M_Right_thumb_finger.BMP,458,20261222,27.07077807772415,0.9212769854897856,0.001963008554647105
development,358__M_Left_index_finger.BMP,358,20261223,27.236944199266215,0.8618307483512163,0.0018893202528205673
development,358__M_Left_little_finger.BMP,358,20261224,27.36733780397643,0.8151889041575789,0.0018334379631396484
development,358__M_Left_middle_finger.BMP,358,20261225,27.165820353094215,0.8782265888885855,0.0019205161548903156
development,358__M_Left_ring_finger.BMP,358,20261226,27.571796790413543,0.803453362364322,0.0017491228807993305
development,358__M_Left_thumb_finger.BMP,358,20261227,27.06961823144247,0.8920985052921772,0.001963532874508304
development,358__M_Right_index_finger.BMP,358,20261228,27.082100402676357,0.9081473386961818,0.0019578975355614646
development,358__M_Right_little_finger.BMP,358,20261229,27.061822213891244,0.8810446554100514,0.0019670607766737232
development,358__M_Right_middle_finger.BMP,358,20261230,26.965358684587414,0.9060125459142327,0.0020112410825814135
development,358__M_Right_ring_finger.BMP,358,20261231,27.154618445592902,0.8817748545130193,0.0019254762025709502
development,358__M_Right_thumb_finger.BMP,358,20261232,27.07786003709809,0.9053674690062403,0.001959810121613979
development,584__M_Left_index_finger.BMP,584,20261233,26.808661477259736,0.7405033777887225,0.002085133435231476
development,584__M_Left_little_finger.BMP,584,20261234,27.008643646329304,0.7556378812021911,0.001991295147201889
development,584__M_Left_middle_finger.BMP,584,20261235,26.72595253228611,0.7938240012609362,0.0021252241715175577
development,584__M_Left_ring_finger.BMP,584,20261236,26.756204564552583,0.7725715969515443,0.0021104717515642584
development,584__M_Left_thumb_finger.BMP,584,20261237,26.870392477172857,0.8618936983605623,0.002055704811060843
development,584__M_Right_index_finger.BMP,584,20261238,27.37650748718415,0.8741899077614546,0.0018295709305081917
development,584__M_Right_little_finger.BMP,584,20261239,27.20501659588782,0.8208142622725367,0.001903260964546846
development,584__M_Right_middle_finger.BMP,584,20261240,27.059721458104352,0.8875454616950751,0.001968012507372198
development,584__M_Right_ring_finger.BMP,584,20261241,26.898528336386196,0.8464571140774191,0.00204242993149517
development,584__M_Right_thumb_finger.BMP,584,20261242,27.857015091376837,0.6937121391089857,0.0016379418931114086
development,277__M_Left_index_finger.BMP,277,20261243,27.55193277158026,0.8234430739197731,0.0017571414467860552
development,277__M_Left_little_finger.BMP,277,20261244,27.686402604667066,0.7780064740378558,0.00170356904297558
development,277__M_Left_middle_finger.BMP,277,20261245,27.31515625699761,0.8476906587122083,0.0018556000446645002
development,277__M_Left_ring_finger.BMP,277,20261246,27.728347801250656,0.7729418433285355,0.0016871947675762633
development,277__M_Left_thumb_finger.BMP,277,20261247,27.4740786342539,0.835673814529717,0.0017889250134139915
development,277__M_Right_index_finger.BMP,277,20261248,27.435483209579154,0.8224739772281646,0.0018048939078366122
development,277__M_Right_little_finger.BMP,277,20261249,27.60166142206608,0.8000373865206539,0.0017371361487749735
development,277__M_Right_middle_finger.BMP,277,20261250,27.245325559141563,0.8554567247328758,0.0018856776085891085
