Image,Severity,Method,MSE,PSNR (dB),SSIM,Coherence,Match score (%),Runtime (s),Ridge endings,Bifurcations
100__M_Right_thumb_finger.BMP,0.35,M1 Wiener + CLAHE + Unsharp,0.03805271032501804,14.196144049307422,0.7333877398558427,0.6399317979812622,7.666666666666667,0.009195599999657134,202,49
100__M_Right_thumb_finger.BMP,0.35,Gabor,0.09470314425766325,10.236356016610992,0.5332342702761586,0.5969614386558533,2.6666666666666665,0.48461829999996553,202,49
100__M_Right_thumb_finger.BMP,0.35,Hybrid,0.05424919015506057,12.656067406833703,0.6801472974158856,0.6314497590065002,6.333333333333333,0.4738647000003766,202,49
101__M_Left_index_finger.BMP,0.55,Degraded input,0.03159750777263544,15.003471706498273,0.4813576344806824,0.622675895690918,20.333333333333332,0.0,139,49
101__M_Left_index_finger.BMP,0.55,Global HE,0.02619462601070231,15.817877977370408,0.5593831581100337,0.7082104682922363,14.333333333333334,0.006436500000745582,139,49
101__M_Left_index_finger.BMP,0.55,M1 CLAHE,0.10968200666020086,9.598646126178851,0.402068818765519,0.596010148525238,2.3333333333333335,0.00653630000033445,139,49
101__M_Left_index_finger.BMP,0.55,M1 Median + CLAHE,0.08408755068416549,10.75268297536027,0.4423796405032619,0.6680803298950195,4.0,0.008882099999937054,139,49
101__M_Left_index_finger.BMP,0.55,M1 Wiener + CLAHE,0.05384673993873014,12.688405852068303,0.5233499403287742,0.736355721950531,2.0,0.009887900000649097,139,49
101__M_Left_index_finger.BMP,0.55,M1 CLAHE + Unsharp,0.11517345510007299,9.38647604523629,0.36770061972409596,0.52903813123703,1.0,0.007540200000221375,139,49
101__M_Left_index_finger.BMP,0.55,M1 Wiener + CLAHE + Unsharp,0.05149556246896464,12.882301938379491,0.5251455284541191,0.720618724822998,2.0,0.01002410000000964,139,49
101__M_Left_index_finger.BMP,0.55,Gabor,0.06212101941919012,12.067614260198416,0.4007558364332387,0.6158396005630493,2.0,0.48279619999993884,139,49
101__M_Left_index_finger.BMP,0.55,Hybrid,0.04069655241004497,13.904423802762981,0.5500529051887237,0.7194344401359558,4.666666666666667,0.48033610000038607,139,49
101__M_Left_little_finger.BMP,0.75,Degraded input,0.05249411921634412,12.798893467834585,0.31787687399880465,0.43683627247810364,2.6666666666666665,0.0,108,29
101__M_Left_little_finger.BMP,0.75,Global HE,0.040564038916431025,13.91858809301197,0.44551060021148475,0.5855093598365784,6.666666666666667,0.0066039000003002,108,29
101__M_Left_little_finger.BMP,0.75,M1 CLAHE,0.10657023493291032,9.723640768239939,0.35071025900611696,0.43129733204841614,2.0,0.0060897000003024004,108,29
101__M_Left_little_finger.BMP,0.75,M1 Median + CLAHE,0.08671889060037112,10.618862867238033,0.4182797211843197,0.5567021369934082,1.3333333333333333,0.009600100000170642,108,29
101__M_Left_little_finger.BMP,0.75,M1 Wiener + CLAHE,0.058381946793223935,12.337214272058707,0.4525196048179047,0.6491449475288391,3.3333333333333335,0.008751899999879242,108,29
101__M_Left_little_finger.BMP,0.75,M1 CLAHE + Unsharp,0.12297385107761387,9.101872262842507,0.29809194142394124,0.35852760076522827,1.0,0.0070201000007728,108,29
101__M_Left_little_finger.BMP,0.75,M1 Wiener + CLAHE + Unsharp,0.056887273999118616,12.449848768405172,0.44883659990864877,0.626741349697113,2.0,0.009697800000139978,108,29
101__M_Left_little_finger.BMP,0.75,Gabor,0.07057647407607294,11.51340042314322,0.3058243392815616,0.4571399986743927,0.6666666666666666,0.4777954999999565,108,29
101__M_Left_little_finger.BMP,0.75,Hybrid,0.047111783757028715,13.26870452094414,0.44937960885400097,0.6286625862121582,1.0,0.4747964999996839,108,29
101__M_Left_middle_finger.BMP,0.35,Degraded input,0.014536725946923552,18.3753339700501,0.6752780183906122,0.7884659767150879,25.0,0.0,101,25
101__M_Left_middle_finger.BMP,0.35,Global HE,0.017527875508968022,17.56270719995516,0.6723397796734124,0.8134651184082031,19.666666666666668,0.005636300000332994,101,25
101__M_Left_middle_finger.BMP,0.35,M1 CLAHE,0.0853776409948708,10.686558490291896,0.5297630886589835,0.7597976922988892,4.0,0.005850399999872025,101,25
101__M_Left_middle_finger.BMP,0.35,M1 Median + CLAHE,0.05877230561577172,12.308272717398099,0.5651648461238253,0.791537344455719,8.0,0.009237900000698573,101,25
101__M_Left_middle_finger.BMP,0.35,M1 Wiener + CLAHE,0.040517297990103306,13.923595244942675,0.6503103226416961,0.8274237513542175,3.3333333333333335,0.008478099999592814,101,25
