severity,filename,relative_path,selection_seed,runtime_seconds,coherence_before,coherence_after,delta_coherence,contrast_before,contrast_after,delta_contrast,fragmentation_before,fragmentation_after,delta_fragmentation,continuity_before,continuity_after,delta_continuity,ridge_coverage_before,ridge_coverage_after,delta_ridge_coverage
Medium,328__M_Right_ring_finger_Zcut.BMP,data\SOCOFing\Altered\Altered-Medium\328__M_Right_ring_finger_Zcut.BMP,20261904,0.1392479999999523,0.6811365485191345,0.7209985852241516,0.03986203670501709,0.1973389983177185,0.19282294809818268,-0.004516050219535828,4.714640198511166,4.5061804952664435,-0.2084597032447224,18.192052980132452,19.22027972027972,1.028226740147268,0.36895751953125,0.3690948486328125,0.0001373291015625
Medium,238__M_Right_thumb_finger_Zcut.BMP,data\SOCOFing\Altered\Altered-Medium\238__M_Right_thumb_finger_Zcut.BMP,20261904,0.19678509999994276,0.6999229192733765,0.7509406805038452,0.05101776123046875,0.21528394520282745,0.20848557353019714,-0.00679837167263031,5.114401076716017,4.7889390955084385,-0.3254619812075781,16.953890489913544,18.52848101265823,1.5745905227446855,0.3968048095703125,0.3950958251953125,-0.001708984375
Hard,323__M_Left_little_finger_Zcut.BMP,data\SOCOFing\Altered\Altered-Hard\323__M_Left_little_finger_Zcut.BMP,20261905,0.12431650000007721,0.6121985912322998,0.6780520081520081,0.06585341691970825,0.16952496767044067,0.16341827809810638,-0.0061066895723342896,5.374361135992413,5.438513121072918,0.06415198508050501,15.63740458015267,15.789883268482491,0.15247868832982014,0.2895965576171875,0.2889862060546875,-0.0006103515625
Hard,162__M_Left_middle_finger_CR.BMP,data\SOCOFing\Altered\Altered-Hard\162__M_Left_middle_finger_CR.BMP,20261905,0.16973330000018905,0.6525947451591492,0.7139253616333008,0.06133061647415161,0.1923462301492691,0.18656694889068604,-0.005779281258583069,5.009791865919752,5.07591000548747,0.06611813956771861,15.973282442748092,16.492,0.5187175572519092,0.3350372314453125,0.33367919921875,-0.0013580322265625
Hard,87__M_Right_middle_finger_Zcut.BMP,data\SOCOFing\Altered\Altered-Hard\87__M_Right_middle_finger_Zcut.BMP,20261905,0.16215329999999994,0.7175639867782593,0.7655575275421143,0.04799354076385498,0.22261905670166016,0.21754387021064758,-0.005075186491012573,3.1169226090922915,3.00700365408039,-0.10991895501190152,23.299595141700404,24.554112554112553,1.2545174124121488,0.40142822265625,0.40087890625,-0.00054931640625
Hard,385__M_Left_thumb_finger_CR.BMP,data\SOCOFing\Altered\Altered-Hard\385__M_Left_thumb_finger_CR.BMP,20261905,0.1254810999998881,0.7603644132614136,0.8103005290031433,0.049936115741729736,0.22912120819091797,0.22338765859603882,-0.00573354959487915,2.5132034237843746,2.415635751409121,-0.09756767237525343,28.401913875598087,31.267379679144383,2.8654658035462965,0.4189300537109375,0.416900634765625,-0.0020294189453125
Hard,188__M_Left_ring_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Hard\188__M_Left_ring_finger_Obl.BMP,20261905,0.16737799999987146,0.6596323251724243,0.7212749719619751,0.06164264678955078,0.14617201685905457,0.1384803205728531,-0.007691696286201477,1.8498276296981417,1.6581632653061225,-0.19166436439201928,27.939560439560438,34.30714285714286,6.367582417582419,0.362945556640625,0.35888671875,-0.004058837890625
Hard,280__M_Left_middle_finger_Obl.BMP,data\SOCOFing\Altered\Altered-Hard\280__M_Left_middle_finger_Obl.BMP,20261905,0.1426046999999926,0.7161211967468262,0.7664632797241211,0.05034208297729492,0.20452111959457397,0.19966381788253784,-0.004857301712036133,1.853673299538473,1.4794582906566518,-0.37421500888182124,38.02013422818792,42.753846153846155,4.733711925658234,0.403350830078125,0.4022369384765625,-0.0011138916015625
Hard,64__M_Right_little_finger_CR.BMP,data\SOCOFing\Altered\Altered-Hard\64__M_Right_little_finger_CR.BMP,20261905,0.11382400000002235,0.673640251159668,0.7358627319335938,0.06222248077392578,0.1707751750946045,0.1642782837152481,-0.006496891379356384,2.134471718249733,1.9015021867275146,-0.23296953152221844,30.994350282485875,34.81818181818182,3.8238315356959447,0.40032958984375,0.4012298583984375,0.0009002685546875
Hard,430__F_Right_thumb_finger_CR.BMP,data\SOCOFing\Altered\Altered-Hard\430__F_Right_thumb_finger_CR.BMP,20261905,0.16618429999994078,0.6813147068023682,0.748516321182251,0.06720161437988281,0.17377136647701263,0.17070671916007996,-0.0030646473169326782,2.6693360026693362,2.9299618703592216,0.2606258676898854,28.349056603773583,25.925925925925927,-2.423130677847656,0.4115753173828125,0.3952816867890403,-0.0162936305937722
