Combination ID,Image,Quality band,Severity,Stage order,Stage,MSE,PSNR (dB),SSIM,Ridge coherence,Runtime (s),Delta PSNR vs previous stage (dB),Delta SSIM vs previous stage,Delta coherence vs previous stage
R1->G7,159__M_Right_thumb_finger.BMP,Lower quality,0.55,0,Degraded,0.02976756429694738,15.26256699638508,0.3952516253058921,0.37059158086776733,0.0,,,
R1->G7,159__M_Right_thumb_finger.BMP,Lower quality,0.55,1,Common Preprocessing P0,0.02976756429694738,15.26256699638508,0.3952516253058921,0.37059158086776733,0.0,0.0,0.0,0.0
R1->G7,159__M_Right_thumb_finger.BMP,Lower quality,0.55,2,M1 Wiener deconvolution,0.028570962247713067,15.440751326716962,0.4316914302012243,0.39472106099128723,0.002344900043681264,0.17818433033188086,0.03643980489533222,0.024129480123519897
R1->G7,159__M_Right_thumb_finger.BMP,Lower quality,0.55,3,M2 Coherence-guided directional diffusion,0.028475667031263904,15.455260939528399,0.4459116968614152,0.4299568235874176,0.32731859997147694,0.014509612811437478,0.014220266660190883,0.03523576259613037
R1->G7,159__M_Right_thumb_finger.BMP,Lower quality,0.55,4,Team Final Output,0.028475667031263904,15.455260939528399,0.4459116968614152,0.4299568235874176,0.3296635000151582,0.0,0.0,0.0
R1->G7,493__M_Left_little_finger.BMP,Lower quality,0.75,0,Degraded,0.044177192527388644,13.54801887120194,0.31363286437437116,0.28244054317474365,0.0,,,
R1->G7,493__M_Left_little_finger.BMP,Lower quality,0.75,1,Common Preprocessing P0,0.044177192527388644,13.54801887120194,0.31363286437437116,0.28244054317474365,0.0,0.0,0.0,0.0
R1->G7,493__M_Left_little_finger.BMP,Lower quality,0.75,2,M1 Wiener deconvolution,0.04254976064983503,13.711028785582007,0.3514122692823294,0.3080686330795288,0.0024403000134043396,0.1630099143800674,0.037779404907958225,0.025628089904785156
R1->G7,493__M_Left_little_finger.BMP,Lower quality,0.75,3,M2 Coherence-guided directional diffusion,0.04223361126037058,13.74341781861916,0.3633102781144822,0.3327289819717407,0.4468851000419818,0.032389033037151904,0.011898008832152807,0.024660348892211914
R1->G7,493__M_Left_little_finger.BMP,Lower quality,0.75,4,Team Final Output,0.04223361126037058,13.74341781861916,0.3633102781144822,0.3327289819717407,0.4493254000553861,0.0,0.0,0.0
R1->G7,543__M_Right_middle_finger.BMP,Lower quality,0.35,0,Degraded,0.013593711746510157,18.666619434933,0.622298704735867,0.4842648506164551,0.0,,,
R1->G7,543__M_Right_middle_finger.BMP,Lower quality,0.35,1,Common Preprocessing P0,0.013593711746510157,18.666619434933,0.622298704735867,0.4842648506164551,0.0,0.0,0.0,0.0
R1->G7,543__M_Right_middle_finger.BMP,Lower quality,0.35,2,M1 Wiener deconvolution,0.012930871748949344,18.883721956922052,0.6539069612884598,0.49805665016174316,0.0024666000390425324,0.21710252198905167,0.031608256552592806,0.013791799545288086
R1->G7,543__M_Right_middle_finger.BMP,Lower quality,0.35,3,M2 Coherence-guided directional diffusion,0.01339010608820948,18.732159821111086,0.6621813745904602,0.5212053060531616,0.35278949997154996,-0.15156213581096623,0.008274413302000405,0.023148655891418457
R1->G7,543__M_Right_middle_finger.BMP,Lower quality,0.35,4,Team Final Output,0.01339010608820948,18.732159821111086,0.6621813745904602,0.5212053060531616,0.3552561000105925,0.0,0.0,0.0
R1->G7,471__M_Left_little_finger.BMP,Lower quality,0.55,0,Degraded,0.030785269586528136,15.116570389401645,0.45705769311734173,0.48607102036476135,0.0,,,
R1->G7,471__M_Left_little_finger.BMP,Lower quality,0.55,1,Common Preprocessing P0,0.030785269586528136,15.116570389401645,0.45705769311734173,0.48607102036476135,0.0,0.0,0.0,0.0
R1->G7,471__M_Left_little_finger.BMP,Lower quality,0.55,2,M1 Wiener deconvolution,0.028906988012384807,15.389971576460912,0.4971780012518633,0.5117788910865784,0.0020788999972864985,0.2734011870592674,0.040120308134521554,0.025707870721817017
R1->G7,471__M_Left_little_finger.BMP,Lower quality,0.55,3,M2 Coherence-guided directional diffusion,0.029808101725353475,15.256656803395295,0.49522874154056146,0.5395349264144897,0.3274636999703944,-0.13331477306561723,-0.0019492597113018317,0.027756035327911377
R1->G7,471__M_Left_little_finger.BMP,Lower quality,0.55,4,Team Final Output,0.029808101725353475,15.256656803395295,0.49522874154056146,0.5395349264144897,0.32954259996768087,0.0,0.0,0.0
R1->G7,516__M_Right_little_finger.BMP,Lower quality,0.75,0,Degraded,0.044848563318974695,13.482514646072946,0.29702657738757515,0.3059859275817871,0.0,,,
R1->G7,516__M_Right_little_finger.BMP,Lower quality,0.75,1,Common Preprocessing P0,0.044848563318974695,13.482514646072946,0.29702657738757515,0.3059859275817871,0.0,0.0,0.0,0.0
R1->G7,516__M_Right_little_finger.BMP,Lower quality,0.75,2,M1 Wiener deconvolution,0.04262519332810341,13.70333638236675,0.3358044662253286,0.3406983017921448,0.002089899964630604,0.22082173629380364,0.03877788883775346,0.034712374210357666
