Ablation type,Image,Severity,Stage,Operation,Parameters,PSNR before (dB),PSNR after (dB),Delta PSNR (dB),MSE after,SSIM after,Ridge coherence after,Irreversible risk
Sequential current pipeline,158__M_Right_middle_finger.BMP,0.35,5.0,Partial smudge/occlusion,"centre=(141,144); radii=(3,8); rotation=-0.2918; patch_blur_sigma=3.7000",18.707151661216397,18.697507234760902,-0.009644426455494681,0.013497373831101628,0.7171050518347732,0.6117162108421326,localized occlusion/smudge can overwrite ridge detail
Sequential current pipeline,158__M_Right_middle_finger.BMP,0.35,6.0,"Final clipping to [0,1]",clipped_fraction_before_clip=0.003357,18.697507234760902,18.697507234760902,0.0,0.013497373831101628,0.7171050518347732,0.6117162108421326,saturation is irreversible where clipping occurs
Independent component,158__M_Right_middle_finger.BMP,0.35,,Gaussian noise only,sigma=0.0372,inf,29.36168583407023,,0.0011583276319878813,0.912330357925117,0.6368308067321777,recoverable only statistically
Independent component,158__M_Right_middle_finger.BMP,0.35,,Salt-and-pepper noise only,salt_probability=0.000525; pepper_probability=0.000525,inf,34.29445029010161,,0.0003720103055284696,0.9920245200396478,0.6926801204681396,pixel clipping at impulses
Independent component,158__M_Right_middle_finger.BMP,0.35,,Blur only,sigma=0.9800,inf,24.708926024924406,,0.0033814844723936664,0.9397821740179062,0.7491545677185059,high-frequency detail loss
Independent component,158__M_Right_middle_finger.BMP,0.35,,Contrast reduction + illumination only,contrast_scale=0.7970; illumination_amplitude=0.0560,inf,22.13808240370156,,0.006112118415610948,0.9147985240430385,0.7419722676277161,low contrast
Independent component,158__M_Right_middle_finger.BMP,0.35,,Partial smudge/occlusion only,"radii=(3,8); patch_blur_sigma=3.7000",inf,41.118030689325906,,7.730310369746807e-05,0.999321626610756,0.7024168968200684,localized overwritten ridge detail
Sequential current pipeline,148__M_Right_ring_finger.BMP,0.55,0.0,Clean Real reference,none,inf,inf,,0.0,1.0,0.6799112558364868,reference only
Sequential current pipeline,148__M_Right_ring_finger.BMP,0.55,1.0,Optical/sensor Gaussian blur,sigma=1.3400,inf,20.708441767723308,,0.008494852124648879,0.8444570167869627,0.7288568019866943,blur removes high-frequency ridge detail
Sequential current pipeline,148__M_Right_ring_finger.BMP,0.55,2.0,Reduced dynamic range + sinusoidal illumination,contrast_scale=0.6810; illumination_amplitude=0.0880,20.708441767723308,15.89044162621066,-4.818000141512648,0.025760591888794614,0.6762507499147141,0.7809910774230957,low contrast can bury weak ridges
Sequential current pipeline,148__M_Right_ring_finger.BMP,0.55,3.0,Gaussian sensor noise,sigma=0.0483,15.89044162621066,15.524362140991874,-0.3660794852187852,0.02802617218737427,0.5318056396085028,0.5129499435424805,noise can obscure ridge/valley boundaries
Sequential current pipeline,148__M_Right_ring_finger.BMP,0.55,4.0,Sparse salt-and-pepper impulse noise,pepper_probability=0.000825; salt_probability=0.000825,15.524362140991874,15.42256577608654,-0.10179636490533461,0.0286908504936629,0.524618112126677,0.49860140681266785,local clipping to 0/1 at impulse pixels
Sequential current pipeline,148__M_Right_ring_finger.BMP,0.55,5.0,Partial smudge/occlusion,"centre=(130,120); radii=(4,14); rotation=0.1651; patch_blur_sigma=4.1000",15.42256577608654,15.414856991757253,-0.0077087843292869,0.028741822356150123,0.5234865874058405,0.49878770112991333,localized occlusion/smudge can overwrite ridge detail
Sequential current pipeline,148__M_Right_ring_finger.BMP,0.55,6.0,"Final clipping to [0,1]",clipped_fraction_before_clip=0.001358,15.414856991757253,15.414856991757253,0.0,0.028741822356150123,0.5234865874058405,0.49878770112991333,saturation is irreversible where clipping occurs
Independent component,148__M_Right_ring_finger.BMP,0.55,,Gaussian noise only,sigma=0.0483,inf,27.256280047462834,,0.001880927236591505,0.8690009703724384,0.6071640253067017,recoverable only statistically
Independent component,148__M_Right_ring_finger.BMP,0.55,,Salt-and-pepper noise only,salt_probability=0.000825; pepper_probability=0.000825,inf,31.74787621722252,,0.0006686708304073363,0.9863516737336069,0.6719750165939331,pixel clipping at impulses
Independent component,148__M_Right_ring_finger.BMP,0.55,,Blur only,sigma=1.3400,inf,20.708441767723308,,0.008494852124648879,0.8444570167869627,0.7288568019866943,high-frequency detail loss
Independent component,148__M_Right_ring_finger.BMP,0.55,,Contrast reduction + illumination only,contrast_scale=0.6810; illumination_amplitude=0.0880,inf,18.435164597602938,,0.014337833746380311,0.8864818143481686,0.7469069957733154,low contrast
Independent component,148__M_Right_ring_finger.BMP,0.55,,Partial smudge/occlusion only,"radii=(4,14); patch_blur_sigma=4.1000",inf,38.39513735471259,,0.00014470590861012655,0.9977912486476302,0.6797429323196411,localized overwritten ridge detail
Sequential current pipeline,112__M_Left_middle_finger.BMP,0.75,0.0,Clean Real reference,none,inf,inf,,0.0,1.0,0.6265909671783447,reference only
Sequential current pipeline,112__M_Left_middle_finger.BMP,0.75,1.0,Optical/sensor Gaussian blur,sigma=1.7000,inf,20.341840740754744,,0.009243063271577845,0.6975117735827155,0.6474926471710205,blur removes high-frequency ridge detail
Sequential current pipeline,112__M_Left_middle_finger.BMP,0.75,2.0,Reduced dynamic range + sinusoidal illumination,contrast_scale=0.5650; illumination_amplitude=0.1200,20.341840740754744,14.909617313114097,-5.432223427640647,0.03228778619178988,0.5203260041536475,0.7428994178771973,low contrast can bury weak ridges
Sequential current pipeline,112__M_Left_middle_finger.BMP,0.75,3.0,Gaussian sensor noise,sigma=0.0592,14.909617313114097,14.458744601657727,-0.45087271145636976,0.035819996562392376,0.30281196988976955,0.2848091125488281,noise can obscure ridge/valley boundaries
Sequential current pipeline,112__M_Left_middle_finger.BMP,0.75,4.0,Sparse salt-and-pepper impulse noise,pepper_probability=0.001125; salt_probability=0.001125,14.458744601657727,14.380939510771375,-0.07780509088635235,0.03646750481111311,0.2961403243238891,0.2768399119377136,local clipping to 0/1 at impulse pixels
Sequential current pipeline,112__M_Left_middle_finger.BMP,0.75,5.0,Partial smudge/occlusion,"centre=(114,143); radii=(6,19); rotation=-0.7563; patch_blur_sigma=4.5000",14.380939510771375,14.376798690551027,-0.004140820220348118,0.03650229166639555,0.2948518343508618,0.2769134044647217,localized occlusion/smudge can overwrite ridge detail
Sequential current pipeline,112__M_Left_middle_finger.BMP,0.75,6.0,"Final clipping to [0,1]",clipped_fraction_before_clip=0.001602,14.376798690551027,14.376798690551027,0.0,0.03650229166639555,0.2948518343508618,0.2769134044647217,saturation is irreversible where clipping occurs
Independent component,112__M_Left_middle_finger.BMP,0.75,,Gaussian noise only,sigma=0.0592,inf,25.38696875525128,,0.0028926981941842047,0.7729556711598635,0.5058497190475464,recoverable only statistically
Independent component,112__M_Left_middle_finger.BMP,0.75,,Salt-and-pepper noise only,salt_probability=0.001125; pepper_probability=0.001125,inf,30.813731491309817,,0.0008291380596320186,0.9758574793239236,0.6168535947799683,pixel clipping at impulses
Independent component,112__M_Left_middle_finger.BMP,0.75,,Blur only,sigma=1.7000,inf,20.341840740754744,,0.009243063271577845,0.6975117735827155,0.6474926471710205,high-frequency detail loss
Independent component,112__M_Left_middle_finger.BMP,0.75,,Contrast reduction + illumination only,contrast_scale=0.5650; illumination_amplitude=0.1200,inf,16.483504556687468,,0.022472404542953708,0.8278837832845095,0.7350807189941406,low contrast
Independent component,112__M_Left_middle_finger.BMP,0.75,,Partial smudge/occlusion only,"radii=(6,19); patch_blur_sigma=4.5000",inf,39.06763184880316,,0.00012394722703645735,0.9956123640732542,0.6267296075820923,localized overwritten ridge detail
Sequential current pipeline,412__M_Left_middle_finger.BMP,0.35,0.0,Clean Real reference,none,inf,inf,,0.0,1.0,0.6870279312133789,reference only
Sequential current pipeline,412__M_Left_middle_finger.BMP,0.35,1.0,Optical/sensor Gaussian blur,sigma=0.9800,inf,27.64623294918279,,0.0017193991396142094,0.9299499098106623,0.7421824336051941,blur removes high-frequency ridge detail
Sequential current pipeline,412__M_Left_middle_finger.BMP,0.35,2.0,Reduced dynamic range + sinusoidal illumination,contrast_scale=0.7970; illumination_amplitude=0.0560,27.64623294918279,21.335814437922508,-6.310418511260281,0.007352221054172108,0.8396697366561778,0.761160671710968,low contrast can bury weak ridges
Sequential current pipeline,412__M_Left_middle_finger.BMP,0.35,3.0,Gaussian sensor noise,sigma=0.0372,21.335814437922508,20.597000014718077,-0.7388144232044311,0.00871565435183075,0.712262372302087,0.5544247627258301,noise can obscure ridge/valley boundaries
Sequential current pipeline,412__M_Left_middle_finger.BMP,0.35,4.0,Sparse salt-and-pepper impulse noise,pepper_probability=0.000525; salt_probability=0.000525,20.597000014718077,20.43144670939512,-0.16555330532295542,0.009054309360843454,0.7053990788289743,0.544758677482605,local clipping to 0/1 at impulse pixels
Sequential current pipeline,412__M_Left_middle_finger.BMP,0.35,5.0,Partial smudge/occlusion,"centre=(111,147); radii=(3,8); rotation=0.7317; patch_blur_sigma=3.7000",20.43144670939512,20.423048736871216,-0.008397972523905395,0.009071834659731591,0.7047279850341517,0.544333815574646,localized occlusion/smudge can overwrite ridge detail
